ダウンロードした時刻：2021/06/07 13:42:06

,東京,東京,東京,東京,東京,東京
年月日,天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,品質情報,均質番号,,品質情報,均質番号
2020/2/3,晴時々曇,8,1,晴時々薄曇,8,1
2020/2/4,曇時々晴,8,1,晴,8,1
2020/2/5,晴,8,1,晴後一時曇,8,1
2020/2/6,快晴,8,1,快晴,8,1
2020/2/7,薄曇時々晴,8,1,薄曇,8,1
2020/2/8,晴時々曇,8,1,晴一時曇,8,1
2020/2/9,快晴,8,1,快晴,8,1
2020/2/10,晴一時曇,8,1,快晴,8,1
2020/2/11,快晴,8,1,晴後一時曇,8,1
2020/2/12,薄曇後一時晴,8,1,曇,8,1
2020/2/13,曇一時雨後晴,8,1,晴後一時薄曇,8,1
2020/2/14,曇後一時雨,8,1,晴一時曇,8,1
2020/2/15,薄曇,8,1,薄曇時々晴,8,1
2020/2/16,雨時々曇,8,1,雨後曇,8,1
2020/2/17,曇後晴,8,1,晴後一時曇,8,1
2020/2/18,晴,8,1,快晴,8,1
2020/2/19,晴後薄曇,8,1,薄曇時々晴,8,1
2020/2/20,薄曇,8,1,曇後晴,8,1
2020/2/21,晴後一時薄曇,8,1,晴後雨一時曇,8,1
2020/2/22,曇時々晴後一時雨,8,1,晴一時雨,8,1
2020/2/23,晴,8,1,快晴,8,1
2020/2/24,晴,8,1,晴後時々薄曇,8,1
2020/2/25,曇,8,1,雨時々曇,8,1
2020/2/26,曇時々雨,8,1,雨時々曇後晴,8,1
2020/2/27,晴,8,1,快晴,8,1
2020/2/28,晴後薄曇,8,1,曇,8,1
2020/2/29,曇一時晴,8,1,曇時々雨後一時晴,8,1
2020/3/1,薄曇時々晴,8,1,曇後雨,8,1
2020/3/2,雨,8,1,曇後晴,8,1
2020/3/3,晴一時薄曇,8,1,曇時々雨,8,1
2020/3/4,曇一時雨,8,1,曇一時雨,8,1
2020/3/5,晴一時曇,8,1,快晴,8,1
2020/3/6,快晴,8,1,晴後曇時々雨,8,1
2020/3/7,曇時々雨,8,1,雨時々曇,8,1
2020/3/8,雨,8,1,曇後時々晴,8,1
2020/3/9,曇一時晴,8,1,曇後一時雨,8,1
2020/3/10,雨時々曇,8,1,晴一時雨後曇,8,1
2020/3/11,晴後一時雨,8,1,晴,8,1
2020/3/12,晴,8,1,晴後薄曇,8,1
2020/3/13,薄曇,8,1,晴後一時曇,8,1
2020/3/14,雨後雪時々みぞれ,8,1,曇一時雨後晴,8,1
2020/3/15,晴後一時曇,8,1,晴一時薄曇,8,1
2020/3/16,晴一時曇,8,1,快晴,8,1
2020/3/17,晴時々曇,8,1,晴後一時曇,8,1
2020/3/18,快晴,8,1,快晴,8,1
2020/3/19,快晴,8,1,曇時々晴一時雨,8,1
2020/3/20,晴一時曇,8,1,快晴,8,1
2020/3/21,晴,8,1,晴後薄曇,8,1
2020/3/22,薄曇時々晴,8,1,曇時々晴,8,1
2020/3/23,曇一時雨後時々晴,8,1,晴時々曇後一時雨,8,1
